"vehicle_type","state_abb","year_of_manufacture","no_vehicles"
"Passenger vehicles","NSW","1901",0
"Passenger vehicles","NSW","1902",0
"Passenger vehicles","NSW","1903",0
"Passenger vehicles","NSW","1904",0
"Passenger vehicles","NSW","1905",0
"Passenger vehicles","NSW","1906",0
"Passenger vehicles","NSW","1907",0
"Passenger vehicles","NSW","1908",0
"Passenger vehicles","NSW","1909",0
"Passenger vehicles","NSW","1910",0
"Passenger vehicles","NSW","1911",3
"Passenger vehicles","NSW","1912",0
"Passenger vehicles","NSW","1913",3
"Passenger vehicles","NSW","1914",3
"Passenger vehicles","NSW","1915",0
"Passenger vehicles","NSW","1916",0
"Passenger vehicles","NSW","1917",0
"Passenger vehicles","NSW","1918",0
"Passenger vehicles","NSW","1919",0
"Passenger vehicles","NSW","1920",0
"Passenger vehicles","NSW","1921",0
"Passenger vehicles","NSW","1922",3
"Passenger vehicles","NSW","1923",43
"Passenger vehicles","NSW","1924",12
"Passenger vehicles","NSW","1925",20
"Passenger vehicles","NSW","1926",27
"Passenger vehicles","NSW","1927",44
"Passenger vehicles","NSW","1928",197
"Passenger vehicles","NSW","1929",97
"Passenger vehicles","NSW","1930",83
"Passenger vehicles","NSW","1931",38
"Passenger vehicles","NSW","1932",238
"Passenger vehicles","NSW","1933",54
"Passenger vehicles","NSW","1934",229
"Passenger vehicles","NSW","1935",67
"Passenger vehicles","NSW","1936",74
"Passenger vehicles","NSW","1937",81
"Passenger vehicles","NSW","1938",54
"Passenger vehicles","NSW","1939",70
"Passenger vehicles","NSW","1940",44
"Passenger vehicles","NSW","1941",13
"Passenger vehicles","NSW","1942",7
"Passenger vehicles","NSW","1943",5
"Passenger vehicles","NSW","1944",9
"Passenger vehicles","NSW","1945",0
"Passenger vehicles","NSW","1946",32
"Passenger vehicles","NSW","1947",45
"Passenger vehicles","NSW","1948",98
"Passenger vehicles","NSW","1949",87
"Passenger vehicles","NSW","1950",101
"Passenger vehicles","NSW","1951",112
"Passenger vehicles","NSW","1952",84
"Passenger vehicles","NSW","1953",122
"Passenger vehicles","NSW","1954",198
"Passenger vehicles","NSW","1955",274
"Passenger vehicles","NSW","1956",291
"Passenger vehicles","NSW","1957",427
"Passenger vehicles","NSW","1958",290
"Passenger vehicles","NSW","1959",370
"Passenger vehicles","NSW","1960",360
"Passenger vehicles","NSW","1961",295
"Passenger vehicles","NSW","1962",494
"Passenger vehicles","NSW","1963",660
"Passenger vehicles","NSW","1964",1160
"Passenger vehicles","NSW","1965",1054
"Passenger vehicles","NSW","1966",1241
"Passenger vehicles","NSW","1967",1276
"Passenger vehicles","NSW","1968",1311
"Passenger vehicles","NSW","1969",1476
"Passenger vehicles","NSW","1970",1924
"Passenger vehicles","NSW","1971",2066
"Passenger vehicles","NSW","1972",1404
"Passenger vehicles","NSW","1973",1375
"Passenger vehicles","NSW","1974",1552
"Passenger vehicles","NSW","1975",1214
"Passenger vehicles","NSW","1976",1298
"Passenger vehicles","NSW","1977",1243
"Passenger vehicles","NSW","1978",1151
"Passenger vehicles","NSW","1979",936
"Passenger vehicles","NSW","1980",677
"Passenger vehicles","NSW","1981",774
"Passenger vehicles","NSW","1982",1002
"Passenger vehicles","NSW","1983",962
"Passenger vehicles","NSW","1984",1553
"Passenger vehicles","NSW","1985",2116
"Passenger vehicles","NSW","1986",1605
"Passenger vehicles","NSW","1987",1451
"Passenger vehicles","NSW","1988",2096
