state,year,quarter,sector,ghg_kt_co2e
NSW,2024,Q1,Transport,5180.0
NSW,2024,Q2,Transport,850.0
NSW,2024,Q3,Transport,4297.1
NSW,2024,Q4,Transport,5719.8
NSW,2025,Q1,Transport,3637.5
NSW,2025,Q2,Transport,5641.8
NSW,2025,Q3,Transport,2863.8
NSW,2025,Q4,Transport,5786.0
VIC,2024,Q1,Transport,2760.1
VIC,2024,Q2,Transport,5398.9
VIC,2024,Q3,Transport,2663.9
VIC,2024,Q4,Transport,4774.9
VIC,2025,Q1,Transport,2114.1
VIC,2025,Q2,Transport,2113.9
VIC,2025,Q3,Transport,1746.2
VIC,2025,Q4,Transport,6203.9
QLD,2024,Q1,Transport,4501.9
QLD,2024,Q2,Transport,3145.8
QLD,2024,Q3,Transport,702.0
QLD,2024,Q4,Transport,664.6
QLD,2025,Q1,Transport,2875.4
QLD,2025,Q2,Transport,4870.5
QLD,2025,Q3,Transport,2497.5
QLD,2025,Q4,Transport,950.1
WA,2024,Q1,Transport,502.7
WA,2024,Q2,Transport,6223.3
WA,2024,Q3,Transport,3703.5
WA,2024,Q4,Transport,4394.7
WA,2025,Q1,Transport,2741.0
WA,2025,Q2,Transport,5693.6
WA,2025,Q3,Transport,6124.4
WA,2025,Q4,Transport,2818.3
SA,2024,Q1,Transport,5963.1
SA,2024,Q2,Transport,448.2
SA,2024,Q3,Transport,1955.1
SA,2024,Q4,Transport,2113.4
SA,2025,Q1,Transport,781.0
SA,2025,Q2,Transport,3357.3
SA,2025,Q3,Transport,1107.2
SA,2025,Q4,Transport,3196.4
TAS,2024,Q1,Transport,5525.6
TAS,2024,Q2,Transport,2353.7
TAS,2024,Q3,Transport,3669.0
TAS,2024,Q4,Transport,853.0
TAS,2025,Q1,Transport,1897.3
TAS,2025,Q2,Transport,1562.9
TAS,2025,Q3,Transport,2857.7
TAS,2025,Q4,Transport,3699.0
NT,2024,Q1,Transport,5016.2
NT,2024,Q2,Transport,4086.6
NT,2024,Q3,Transport,4426.4
NT,2024,Q4,Transport,3672.0
NT,2025,Q1,Transport,4005.4
NT,2025,Q2,Transport,4317.0
NT,2025,Q3,Transport,4544.3
NT,2025,Q4,Transport,304.7
ACT,2024,Q1,Transport,1863.5
ACT,2024,Q2,Transport,4984.2
ACT,2024,Q3,Transport,5999.4
ACT,2024,Q4,Transport,2359.5
ACT,2025,Q1,Transport,1277.4
ACT,2025,Q2,Transport,1033.9
ACT,2025,Q3,Transport,4313.9
ACT,2025,Q4,Transport,564.0
