state,year,fuel_consumption_ml,vkt_road_million_km,ghg_kt_co2e,registered_vehicles
NSW,2010,10717.5,70335.56705928408,26409.64145192557,6407861
NSW,2011,10763.300000000001,71054.12096514044,26290.331004792108,6407861
NSW,2012,11073.4,72635.87781019913,26627.942129823594,6407861
NSW,2013,11371.0,73821.0422067564,26257.39671511761,6407861
NSW,2014,11340.5,75005.92396543983,27074.99348698325,6407861
NSW,2015,11437.6,75977.49088992791,26547.25697331897,6407861
NSW,2016,11791.1,77070.46092598063,27288.880296657586,6407861
NSW,2017,12331.7,77913.89549729401,27922.44554000072,6407861
NSW,2018,12423.7,77510.43551467518,27287.674271129035,6407861
NSW,2019,11857.7,71791.34884037836,25805.533639578207,6407861
NSW,2020,12139.0,74073.85759830856,24881.17760976993,6407861
NSW,2021,11515.5,68467.89942025916,23960.487384405944,6407861
NSW,2022,12425.4,74825.28527112663,26774.442753742293,6407861
NSW,2023,12564.1,76515.9242834773,26960.59952630923,6407861
NT,2010,804.3,2057.0242454046943,1224.1585725681698,170993
NT,2011,813.5,2066.852620065517,1186.3357727592725,170993
NT,2012,768.1999999999999,2113.999633330575,1169.8800058219792,170993
NT,2013,784.2,2140.822086181908,1176.161720822452,170993
NT,2014,776.1,2157.332088074598,1293.829562518247,170993
NT,2015,768.7,2157.4652962762107,1310.1308542793274,170993
NT,2016,785.8,2181.5706223686093,1321.213690659549,170993
NT,2017,873.1,2220.8646126005015,1411.034797330253,170993
NT,2018,939.8,2210.02489040042,1862.1938677645949,170993
NT,2019,807.3,2122.030877050706,1543.6672651247445,170993
NT,2020,811.8,2200.5385361356716,1672.396174577787,170993
NT,2021,824.2,2164.1898315148387,1773.1205948318482,170993
NT,2022,827.4,2157.3991177084517,1773.2299539242185,170993
NT,2023,876.0,2178.859525562556,1908.8766616561002,170993
QLD,2010,10155.2,49169.55285356289,20188.381237443205,4892495
QLD,2011,10955.1,49988.05640547143,20967.405492608486,4892495
QLD,2012,11363.0,51279.547762800925,21082.93362993646,4892495
QLD,2013,11128.6,52076.14323006136,20928.80063676197,4892495
QLD,2014,11013.2,52910.3742631863,21114.46146171824,4892495
QLD,2015,10734.2,53699.26105473712,22158.863284959345,4892495
QLD,2016,10883.2,54263.51571775697,22255.27426778417,4892495
QLD,2017,11359.0,54844.24004282263,23598.45834568078,4892495
QLD,2018,11353.7,54665.08702317953,23369.527450207752,4892495
QLD,2019,11017.199999999999,52448.58664374579,22116.24482053549,4892495
QLD,2020,11277.6,55329.460854947145,21832.28298396125,4892495
QLD,2021,11195.6,54504.2153075388,22041.768692609272,4892495
QLD,2022,11492.2,55996.781259098105,23015.786151997432,4892495
QLD,2023,11898.0,57402.88896320388,23845.501857268428,4892495
SA,2010,2836.4,16136.073026721786,6426.477056725869,1632475
SA,2011,2855.4,16139.985464637874,6259.409470012681,1632475
SA,2012,2862.9,16462.760149671827,6405.191494228686,1632475
SA,2013,3062.6,16839.83315694881,6305.93565013167,1632475
SA,2014,2965.7,17027.46590282871,6373.743094195834,1632475
SA,2015,2943.2,17148.702248242917,6446.675492981772,1632475
SA,2016,2928.7,17251.14510926876,6481.281904181313,1632475
SA,2017,3046.6,17384.122737445276,6793.650535315988,1632475
SA,2018,2965.0,17113.181444920556,6491.808959598056,1632475
SA,2019,2914.1,16296.158301472617,6311.820209482263,1632475
SA,2020,2924.6,16738.11319361812,6078.199447120741,1632475
SA,2021,2934.6,16164.232207865136,6258.624712985231,1632475
SA,2022,3053.4,16661.775061837434,6525.999842828278,1632475
SA,2023,3035.3,16962.881001203346,6602.584883970695,1632475
TAS,2010,783.6,5261.901970214462,1916.2169089865358,549846
TAS,2011,773.2,5287.283185916253,1760.8304636405446,549846
TAS,2012,760.3,5325.841697790082,1761.6243568231969,549846
TAS,2013,883.1,5366.975139251387,1713.9626729277106,549846
TAS,2014,888.4,5400.335949858086,1710.2528182552314,549846
TAS,2015,882.7,5403.5673619254685,1709.4884772390785,549846
TAS,2016,874.2,5412.260353237132,1654.7244646659685,549846
TAS,2017,862.0,5516.76398095719,1679.4246075906221,549846
TAS,2018,925.6,5520.984495582726,1782.3398275655834,549846
TAS,2019,900.0,5182.7905366551795,1660.5775501228188,549846
TAS,2020,944.0,5310.199887964721,1786.8914876706624,549846
TAS,2021,920.0,5225.427536792139,1772.7868205566153,549846
TAS,2022,886.4,5159.991489594724,1706.9347314902273,549846
TAS,2023,881.8,5203.485019548471,1714.0673126412257,549846
VIC,2010,8183.2,59748.97859280083,22181.939275552624,5686167
VIC,2011,8559.7,60812.67543236085,21747.882952715252,5686167
VIC,2012,8759.4,62148.6417994095,22024.808448920794,5686167
VIC,2013,8843.7,63467.02145683102,22386.058450099765,5686167
VIC,2014,9152.9,64476.025264059004,23021.85205298475,5686167
VIC,2015,9303.0,65235.95717371303,22510.257165137682,5686167
VIC,2016,9530.1,66328.33889231455,22850.22759206189,5686167
VIC,2017,9666.9,67356.27554185229,22584.70843341026,5686167
VIC,2018,9760.4,67709.7370033749,22523.672112602828,5686167
VIC,2019,9506.1,63811.636771035046,20868.32049481387,5686167
VIC,2020,9025.3,58721.73136875578,18871.902283988275,5686167
VIC,2021,9428.1,61175.52107790463,20480.82417795628,5686167
VIC,2022,9948.2,65490.36976357675,21837.052079017583,5686167
VIC,2023,10058.1,66994.68164452784,22213.698159434574,5686167
WA,2010,6879.7,25696.688120433482,11581.422317358629,2621123
WA,2011,7549.4,26328.925722671152,12218.833926736994,2621123
WA,2012,8114.9,26958.279569099337,12682.047814673237,2621123
WA,2013,8420.7,27578.37882201274,12964.702356177206,2621123
WA,2014,8189.5,28000.967754639176,13180.895455606671,2621123
WA,2015,8264.3,28362.62875802527,14012.918924385593,2621123
WA,2016,8456.6,28405.714790700527,14493.948697878423,2621123
WA,2017,8472.1,28469.840641313946,14692.75210872217,2621123
WA,2018,8457.9,28367.820417687763,14648.478052803179,2621123
WA,2019,8627.6,27384.092878163916,13924.384069005815,2621123
WA,2020,9069.4,28394.07702112461,14278.089286325006,2621123
WA,2021,9398.7,28483.858952268456,14934.532587717085,2621123
WA,2022,9618.6,29617.271007725343,15480.083249073634,2621123
WA,2023,9791.8,30497.25955706757,16042.015656542471,2621123
