state,year,fuel_consumption_ml,vkt_road_million_km,ghg_kt_co2e,registered_vehicles,population,emissions_per_capita_kg,vkt_per_capita_km,vehicles_per_capita
NSW,2010,10717.5,70335.56705928408,26409.64145192557,6407861,7191470.75,3672.356096550288,9780.41481421364,0.8910362320530887
NSW,2011,10763.300000000001,71054.12096514044,26290.331004792108,6407861,7271869.0,3615.3471693167335,9771.09474402529,0.881184878330454
NSW,2012,11073.4,72635.87781019913,26627.942129823594,6407861,7366948.0,3614.5147393226603,9859.697368598112,0.8698121664493899
NSW,2013,11371.0,73821.0422067564,26257.39671511761,6407861,7470507.25,3514.8077414847044,9881.663953509504,0.8577544717595984
NSW,2014,11340.5,75005.92396543983,27074.99348698325,6407861,7577586.75,3573.036427063438,9898.391986794453,0.8456334729523222
NSW,2015,11437.6,75977.49088992791,26547.25697331897,6407861,7689248.75,3452.5163428116393,9881.003120093874,0.833353323365953
NSW,2016,11791.1,77070.46092598063,27288.880296657586,6407861,7813079.75,3492.717490392644,9864.286989516604,0.8201453466541155
NSW,2017,12331.7,77913.89549729401,27922.44554000072,6407861,7918715.5,3526.133189151791,9839.208833464721,0.8092045989024357
NSW,2018,12423.7,77510.43551467518,27287.674271129035,6407861,8016957.0,3403.7446216973644,9668.311245111478,0.7992884332546626
NSW,2019,11857.7,71791.34884037836,25805.533639578207,6407861,8095580.5,3187.60756434677,8867.968003082467,0.7915258207857979
NSW,2020,12139.0,74073.85759830856,24881.17760976993,6407861,8095820.5,3073.336125692254,9149.641793356037,0.7915023560613776
NSW,2021,11515.5,68467.89942025916,23960.487384405944,6407861,8137269.25,2944.5366311807793,8414.112562424938,0.7874706861887358
NSW,2022,12425.4,74825.28527112663,26774.442753742293,6407861,8290418.0,3229.564872813686,9025.51418651347,0.7729237536635668
NSW,2023,12564.1,76515.9242834773,26960.59952630923,6407861,8453280.75,3189.3652090413807,9051.624635024373,0.7580324361047632
NT,2010,804.3,2057.0242454046943,1224.1585725681698,170993,230568.75,5309.299601824488,8921.522302587382,0.7416139437803259
NT,2011,813.5,2066.852620065517,1186.3357727592725,170993,233930.75,5071.311799578604,8835.31823014083,0.7309556353749987
NT,2012,768.1999999999999,2113.999633330575,1169.8800058219792,170993,239518.5,4884.299149426784,8826.039046380864,0.7139031014305784
NT,2013,784.2,2140.822086181908,1176.161720822452,170993,242572.25,4848.70681136219,8825.50286020725,0.7049157519048449
NT,2014,776.1,2157.332088074598,1293.829562518247,170993,243426.25,5315.078232188382,8862.364219448797,0.7024427316281625
