state,date,consumption_ml
NSW,2010-07-01,872.0999999999999
NSW,2010-08-01,879.0999999999999
NSW,2010-09-01,875.4
NSW,2010-10-01,903.3000000000001
NSW,2010-11-01,947.5
NSW,2010-12-01,960.2
NSW,2011-01-01,829.5
NSW,2011-02-01,868.0
NSW,2011-03-01,933.0
NSW,2011-04-01,843.3
NSW,2011-05-01,910.1
NSW,2011-06-01,896.0
NSW,2011-07-01,908.7
NSW,2011-08-01,941.4000000000001
NSW,2011-09-01,906.0
NSW,2011-10-01,873.4
NSW,2011-11-01,925.3
NSW,2011-12-01,901.5
NSW,2012-01-01,848.2
NSW,2012-02-01,879.2
NSW,2012-03-01,918.2
NSW,2012-04-01,843.1
NSW,2012-05-01,964.5
NSW,2012-06-01,853.8
NSW,2012-07-01,916.5999999999999
NSW,2012-08-01,953.7
NSW,2012-09-01,878.5
NSW,2012-10-01,957.6
NSW,2012-11-01,955.2
NSW,2012-12-01,934.5999999999999
NSW,2013-01-01,910.7
NSW,2013-02-01,885.4
NSW,2013-03-01,940.3
NSW,2013-04-01,922.2
NSW,2013-05-01,940.5
NSW,2013-06-01,878.0999999999999
NSW,2013-07-01,977.0
NSW,2013-08-01,998.8
NSW,2013-09-01,920.7
NSW,2013-10-01,975.3
NSW,2013-11-01,967.9000000000001
NSW,2013-12-01,969.1999999999999
NSW,2014-01-01,930.0
NSW,2014-02-01,916.3
NSW,2014-03-01,949.6
NSW,2014-04-01,917.2
NSW,2014-05-01,955.5999999999999
NSW,2014-06-01,893.4000000000001
NSW,2014-07-01,980.7
NSW,2014-08-01,946.4
NSW,2014-09-01,928.5999999999999
NSW,2014-10-01,973.5999999999999
NSW,2014-11-01,950.0999999999999
NSW,2014-12-01,982.2
NSW,2015-01-01,914.9
NSW,2015-02-01,934.1
NSW,2015-03-01,978.1
NSW,2015-04-01,902.4
NSW,2015-05-01,943.9
NSW,2015-06-01,905.5
NSW,2015-07-01,973.3
NSW,2015-08-01,959.5
NSW,2015-09-01,944.5999999999999
NSW,2015-10-01,968.5
NSW,2015-11-01,952.3
NSW,2015-12-01,1014.7
NSW,2016-01-01,894.7
NSW,2016-02-01,971.9000000000001
NSW,2016-03-01,999.0
NSW,2016-04-01,927.8
NSW,2016-05-01,944.9
NSW,2016-06-01,886.4
NSW,2016-07-01,927.2
NSW,2016-08-01,953.7
NSW,2016-09-01,918.7
NSW,2016-10-01,950.6
NSW,2016-11-01,1008.6
NSW,2016-12-01,1022.3000000000001
NSW,2017-01-01,950.4
NSW,2017-02-01,983.6
NSW,2017-03-01,1066.1
NSW,2017-04-01,965.0
NSW,2017-05-01,1066.3
NSW,2017-06-01,978.6
NSW,2017-07-01,1018.7
NSW,2017-08-01,1034.8
NSW,2017-09-01,1008.4000000000001
NSW,2017-10-01,1022.9
NSW,2017-11-01,1043.8
NSW,2017-12-01,1050.1999999999998
NSW,2018-01-01,1009.7
NSW,2018-02-01,988.0999999999999
NSW,2018-03-01,1076.4
NSW,2018-04-01,1002.1
NSW,2018-05-01,1084.3
NSW,2018-06-01,992.3000000000001
NSW,2018-07-01,1043.0
NSW,2018-08-01,1060.0
NSW,2018-09-01,993.4
NSW,2018-10-01,1059.8
NSW,2018-11-01,1106.6
NSW,2018-12-01,1031.4
NSW,2019-01-01,996.5
NSW,2019-02-01,988.3
NSW,2019-03-01,1072.3
NSW,2019-04-01,1019.3
NSW,2019-05-01,1072.2
NSW,2019-06-01,980.9
NSW,2019-07-01,1029.0
NSW,2019-08-01,1052.0
NSW,2019-09-01,996.5
NSW,2019-10-01,1063.3
NSW,2019-11-01,1055.1
NSW,2019-12-01,1062.4
NSW,2020-01-01,1001.0
NSW,2020-02-01,993.5
NSW,2020-03-01,1038.8
NSW,2020-04-01,733.2
NSW,2020-05-01,893.9
NSW,2020-06-01,939.0
NSW,2020-07-01,967.7
NSW,2020-08-01,964.3000000000001
NSW,2020-09-01,984.9
NSW,2020-10-01,1006.9000000000001
NSW,2020-11-01,1044.0
NSW,2020-12-01,1034.1
NSW,2021-01-01,922.5999999999999
NSW,2021-02-01,986.8
NSW,2021-03-01,1044.4
NSW,2021-04-01,1061.6
NSW,2021-05-01,1093.9
NSW,2021-06-01,1027.8000000000002
NSW,2021-07-01,839.7
NSW,2021-08-01,772.6999999999999
NSW,2021-09-01,818.6
NSW,2021-10-01,1003.4
NSW,2021-11-01,1023.8
NSW,2021-12-01,1080.1
NSW,2022-01-01,949.7
NSW,2022-02-01,972.0
NSW,2022-03-01,1029.3
NSW,2022-04-01,919.5
NSW,2022-05-01,1064.1
NSW,2022-06-01,1042.6
NSW,2022-07-01,1002.7
NSW,2022-08-01,1047.3
NSW,2022-09-01,1030.5
NSW,2022-10-01,972.2
NSW,2022-11-01,1069.8
NSW,2022-12-01,1091.3
NSW,2023-01-01,969.3
NSW,2023-02-01,992.1
NSW,2023-03-01,1138.6
NSW,2023-04-01,978.9
NSW,2023-05-01,1105.7
NSW,2023-06-01,1027.0
NSW,2023-07-01,1019.7
NSW,2023-08-01,1064.0
NSW,2023-09-01,1031.3
NSW,2023-10-01,1082.1999999999998
NSW,2023-11-01,1083.8
NSW,2023-12-01,1041.0
NSW,2024-01-01,1023.9000000000001
NSW,2024-02-01,1040.6
NSW,2024-03-01,1096.8
NSW,2024-04-01,1018.6
NSW,2024-05-01,1080.5
NSW,2024-06-01,981.7
NSW,2024-07-01,1034.7
NSW,2024-08-01,1052.4
NSW,2024-09-01,1045.0
NSW,2024-10-01,1094.9
NSW,2024-11-01,1102.0
NSW,2024-12-01,1083.2
NSW,2025-01-01,1018.0
NSW,2025-02-01,1015.7
NSW,2025-03-01,1091.3
NSW,2025-04-01,1034.7
NSW,2025-05-01,1058.8000000000002
NSW,2025-06-01,1065.1999999999998
NSW,2025-07-01,1065.4
NSW,2025-08-01,1038.3000000000002
NSW,2025-09-01,1070.4
NSW,2025-10-01,1124.3
NSW,2025-11-01,1102.9
NSW,2025-12-01,1112.3
NSW,2026-01-01,1034.4
NSW,2026-02-01,1029.1
NSW,2026-03-01,1160.7
NSW,2026-04-01,1003.0999999999999
NSW,2026-05-01,1010.5
NSW,2026-06-01,1084.1
NT,2010-07-01,77.2
NT,2010-08-01,79.8
NT,2010-09-01,77.5
NT,2010-10-01,70.1
NT,2010-11-01,62.5
NT,2010-12-01,67.89999999999999
NT,2011-01-01,57.199999999999996
NT,2011-02-01,46.2
NT,2011-03-01,49.8
NT,2011-04-01,57.2
NT,2011-05-01,66.7
NT,2011-06-01,92.19999999999999
NT,2011-07-01,100.9
NT,2011-08-01,71.3
NT,2011-09-01,81.5
NT,2011-10-01,68.7
NT,2011-11-01,74.7
NT,2011-12-01,68.2
NT,2012-01-01,53.2
NT,2012-02-01,49.1
NT,2012-03-01,56.8
NT,2012-04-01,51.4
NT,2012-05-01,74.39999999999999
NT,2012-06-01,63.3
NT,2012-07-01,72.7
NT,2012-08-01,64.7
NT,2012-09-01,67.5
NT,2012-10-01,62.0
NT,2012-11-01,72.0
NT,2012-12-01,63.7
NT,2013-01-01,64.3
NT,2013-02-01,56.9
NT,2013-03-01,65.7
NT,2013-04-01,61.8
NT,2013-05-01,54.0
NT,2013-06-01,62.9
NT,2013-07-01,60.3
NT,2013-08-01,70.2
NT,2013-09-01,61.8
NT,2013-10-01,57.900000000000006
NT,2013-11-01,67.3
NT,2013-12-01,68.5
NT,2014-01-01,65.8
NT,2014-02-01,54.8
NT,2014-03-01,67.8
NT,2014-04-01,68.4
NT,2014-05-01,74.3
NT,2014-06-01,67.1
NT,2014-07-01,75.9
NT,2014-08-01,75.6
NT,2014-09-01,72.0
NT,2014-10-01,71.9
NT,2014-11-01,60.699999999999996
NT,2014-12-01,70.2
NT,2015-01-01,67.3
NT,2015-02-01,51.4
NT,2015-03-01,62.9
NT,2015-04-01,50.4
NT,2015-05-01,59.5
NT,2015-06-01,58.3
NT,2015-07-01,63.3
NT,2015-08-01,68.6
NT,2015-09-01,68.2
NT,2015-10-01,67.5
NT,2015-11-01,52.8
NT,2015-12-01,62.6
NT,2016-01-01,60.199999999999996
NT,2016-02-01,60.300000000000004
NT,2016-03-01,69.0
NT,2016-04-01,64.8
NT,2016-05-01,63.5
NT,2016-06-01,67.9
NT,2016-07-01,62.9
NT,2016-08-01,64.7
NT,2016-09-01,56.3
NT,2016-10-01,52.2
NT,2016-11-01,56.4
NT,2016-12-01,56.4
NT,2017-01-01,60.2
NT,2017-02-01,55.099999999999994
NT,2017-03-01,80.10000000000001
NT,2017-04-01,71.4
NT,2017-05-01,79.2
NT,2017-06-01,90.9
NT,2017-07-01,64.7
NT,2017-08-01,75.9
NT,2017-09-01,63.3
NT,2017-10-01,69.1
NT,2017-11-01,72.60000000000001
NT,2017-12-01,63.199999999999996
NT,2018-01-01,58.2
NT,2018-02-01,66.7
NT,2018-03-01,76.0
NT,2018-04-01,81.6
NT,2018-05-01,87.7
NT,2018-06-01,94.10000000000001
NT,2018-07-01,97.2
NT,2018-08-01,98.3
NT,2018-09-01,89.69999999999999
NT,2018-10-01,84.8
NT,2018-11-01,90.5
NT,2018-12-01,63.900000000000006
NT,2019-01-01,66.60000000000001
NT,2019-02-01,61.400000000000006
NT,2019-03-01,67.6
NT,2019-04-01,67.89999999999999
NT,2019-05-01,76.8
NT,2019-06-01,75.10000000000001
NT,2019-07-01,74.0
NT,2019-08-01,74.60000000000001
NT,2019-09-01,72.8
NT,2019-10-01,73.0
NT,2019-11-01,68.7
NT,2019-12-01,66.0
NT,2020-01-01,56.8
NT,2020-02-01,58.599999999999994
NT,2020-03-01,65.2
NT,2020-04-01,59.9
NT,2020-05-01,69.1
NT,2020-06-01,68.6
NT,2020-07-01,61.9
NT,2020-08-01,72.7
NT,2020-09-01,71.1
NT,2020-10-01,76.8
NT,2020-11-01,71.8
NT,2020-12-01,66.5
NT,2021-01-01,55.099999999999994
NT,2021-02-01,54.3
NT,2021-03-01,64.6
NT,2021-04-01,66.2
NT,2021-05-01,74.3
NT,2021-06-01,76.5
NT,2021-07-01,74.7
NT,2021-08-01,81.6
NT,2021-09-01,78.7
NT,2021-10-01,78.5
NT,2021-11-01,71.0
NT,2021-12-01,61.8
NT,2022-01-01,58.199999999999996
NT,2022-02-01,54.199999999999996
NT,2022-03-01,64.2
NT,2022-04-01,59.900000000000006
NT,2022-05-01,68.7
NT,2022-06-01,72.7
NT,2022-07-01,81.4
NT,2022-08-01,75.7
NT,2022-09-01,80.30000000000001
NT,2022-10-01,76.5
NT,2022-11-01,70.6
NT,2022-12-01,61.0
NT,2023-01-01,53.8
NT,2023-02-01,53.1
NT,2023-03-01,62.8
NT,2023-04-01,66.60000000000001
NT,2023-05-01,73.5
NT,2023-06-01,72.1
NT,2023-07-01,77.6
NT,2023-08-01,79.0
NT,2023-09-01,73.89999999999999
NT,2023-10-01,74.8
NT,2023-11-01,79.4
NT,2023-12-01,67.1
NT,2024-01-01,58.9
NT,2024-02-01,60.5
NT,2024-03-01,63.7
NT,2024-04-01,70.0
NT,2024-05-01,86.10000000000001
NT,2024-06-01,85.0
NT,2024-07-01,90.8
NT,2024-08-01,86.69999999999999
NT,2024-09-01,83.8
NT,2024-10-01,83.0
NT,2024-11-01,75.2
NT,2024-12-01,70.39999999999999
NT,2025-01-01,68.0
NT,2025-02-01,62.6
NT,2025-03-01,74.2
NT,2025-04-01,75.1
NT,2025-05-01,81.89999999999999
NT,2025-06-01,83.69999999999999
NT,2025-07-01,89.8
NT,2025-08-01,90.8
NT,2025-09-01,92.1
NT,2025-10-01,86.3
NT,2025-11-01,71.0
NT,2025-12-01,69.5
NT,2026-01-01,56.6
NT,2026-02-01,53.0
NT,2026-03-01,62.9
NT,2026-04-01,60.900000000000006
NT,2026-05-01,70.3
NT,2026-06-01,85.3
QLD,2010-07-01,904.5
QLD,2010-08-01,898.6
QLD,2010-09-01,840.1
QLD,2010-10-01,881.5999999999999
QLD,2010-11-01,878.5
QLD,2010-12-01,783.5999999999999
QLD,2011-01-01,735.5999999999999
QLD,2011-02-01,816.2
QLD,2011-03-01,839.8
QLD,2011-04-01,796.3
QLD,2011-05-01,893.6
QLD,2011-06-01,886.8
QLD,2011-07-01,918.6
QLD,2011-08-01,952.9000000000001
QLD,2011-09-01,884.5
QLD,2011-10-01,933.6999999999999
QLD,2011-11-01,988.8
QLD,2011-12-01,903.5
QLD,2012-01-01,841.3000000000001
QLD,2012-02-01,878.1
QLD,2012-03-01,894.8
QLD,2012-04-01,881.0
QLD,2012-05-01,964.1
QLD,2012-06-01,913.8
QLD,2012-07-01,940.7
QLD,2012-08-01,1033.4
QLD,2012-09-01,960.3
QLD,2012-10-01,1005.5
QLD,2012-11-01,993.0999999999999
QLD,2012-12-01,931.0
QLD,2013-01-01,866.0
QLD,2013-02-01,864.6
QLD,2013-03-01,925.9000000000001
QLD,2013-04-01,922.4
QLD,2013-05-01,977.1
QLD,2013-06-01,943.0
QLD,2013-07-01,1018.8
QLD,2013-08-01,1019.2
QLD,2013-09-01,962.6999999999999
QLD,2013-10-01,999.0
QLD,2013-11-01,936.6
QLD,2013-12-01,910.1
QLD,2014-01-01,876.7
QLD,2014-02-01,835.4000000000001
QLD,2014-03-01,888.7
QLD,2014-04-01,875.6999999999999
QLD,2014-05-01,925.8
QLD,2014-06-01,879.9000000000001
QLD,2014-07-01,982.9
QLD,2014-08-01,951.5
QLD,2014-09-01,919.5
QLD,2014-10-01,965.0999999999999
