state,year,quarter,population
NSW,2024,Q1,8339050
NSW,2024,Q2,8387908
NSW,2024,Q3,8400144
NSW,2024,Q4,8430824
NSW,2025,Q1,8455112
NSW,2025,Q2,8482745
NSW,2025,Q3,8497904
NSW,2025,Q4,8519643
VIC,2024,Q1,6817829
VIC,2024,Q2,6856738
VIC,2024,Q3,6884035
VIC,2024,Q4,6921323
VIC,2025,Q1,6933628
VIC,2025,Q2,6966716
VIC,2025,Q3,6975416
VIC,2025,Q4,6985236
QLD,2024,Q1,5417364
QLD,2024,Q2,5434266
QLD,2024,Q3,5456195
QLD,2024,Q4,5472950
QLD,2025,Q1,5484321
QLD,2025,Q2,5503854
QLD,2025,Q3,5518856
QLD,2025,Q4,5527434
WA,2024,Q1,2912734
WA,2024,Q2,2924284
WA,2024,Q3,2934912
WA,2024,Q4,2942372
WA,2025,Q1,2948558
WA,2025,Q2,2966020
WA,2025,Q3,2969798
WA,2025,Q4,2975803
SA,2024,Q1,1860594
SA,2024,Q2,1869593
SA,2024,Q3,1878605
SA,2024,Q4,1883202
SA,2025,Q1,1886214
SA,2025,Q2,1892791
SA,2025,Q3,1898759
SA,2025,Q4,1901884
TAS,2024,Q1,577106
TAS,2024,Q2,578347
TAS,2024,Q3,580541
TAS,2024,Q4,583060
TAS,2025,Q1,584675
TAS,2025,Q2,586420
TAS,2025,Q3,589182
TAS,2025,Q4,591056
NT,2024,Q1,250824
NT,2024,Q2,251172
NT,2024,Q3,251816
NT,2024,Q4,252608
NT,2025,Q1,253371
NT,2025,Q2,254435
NT,2025,Q3,255057
NT,2025,Q4,255828
ACT,2024,Q1,462682
ACT,2024,Q2,463542
ACT,2024,Q3,466201
ACT,2024,Q4,467739
ACT,2025,Q1,469819
ACT,2025,Q2,471138
ACT,2025,Q3,472637
ACT,2025,Q4,473359
