state,vehicle_type,year,count
NSW,Passenger,2020,193900
NSW,Light Commercial,2020,1361525
NSW,Heavy Truck,2020,236381
NSW,Bus,2020,1231473
NSW,Motorcycle,2020,1504504
NSW,Passenger,2021,1573197
NSW,Light Commercial,2021,1807431
NSW,Heavy Truck,2021,611563
NSW,Bus,2021,1025238
NSW,Motorcycle,2021,2228873
NSW,Passenger,2022,1729270
NSW,Light Commercial,2022,2374674
NSW,Heavy Truck,2022,756213
NSW,Bus,2022,713963
NSW,Motorcycle,2022,735294
NSW,Passenger,2023,332217
NSW,Light Commercial,2023,1605507
NSW,Heavy Truck,2023,1011113
NSW,Bus,2023,2088367
NSW,Motorcycle,2023,2446938
NSW,Passenger,2024,601279
NSW,Light Commercial,2024,974868
NSW,Heavy Truck,2024,1935202
NSW,Bus,2024,1066258
NSW,Motorcycle,2024,1928578
NSW,Passenger,2025,1071917
NSW,Light Commercial,2025,40415
NSW,Heavy Truck,2025,1952413
NSW,Bus,2025,1207414
NSW,Motorcycle,2025,2293598
VIC,Passenger,2020,663597
VIC,Light Commercial,2020,310799
VIC,Heavy Truck,2020,1853748
VIC,Bus,2020,1450407
VIC,Motorcycle,2020,2465454
VIC,Passenger,2021,1255743
VIC,Light Commercial,2021,1780680
VIC,Heavy Truck,2021,1049987
VIC,Bus,2021,1917108
VIC,Motorcycle,2021,1268190
VIC,Passenger,2022,836576
VIC,Light Commercial,2022,1614520
VIC,Heavy Truck,2022,2027721
VIC,Bus,2022,448336
VIC,Motorcycle,2022,995912
VIC,Passenger,2023,1600557
VIC,Light Commercial,2023,2399817
VIC,Heavy Truck,2023,1506583
VIC,Bus,2023,2411935
VIC,Motorcycle,2023,1241978
VIC,Passenger,2024,1239287
VIC,Light Commercial,2024,93021
VIC,Heavy Truck,2024,1661129
VIC,Bus,2024,1152254
VIC,Motorcycle,2024,34965
VIC,Passenger,2025,2374678
VIC,Light Commercial,2025,206706
VIC,Heavy Truck,2025,2084425
VIC,Bus,2025,1201385
VIC,Motorcycle,2025,966186
QLD,Passenger,2020,1478741
QLD,Light Commercial,2020,919571
QLD,Heavy Truck,2020,798471
QLD,Bus,2020,1052204
QLD,Motorcycle,2020,574693
QLD,Passenger,2021,408535
QLD,Light Commercial,2021,166350
QLD,Heavy Truck,2021,1296758
QLD,Bus,2021,1849946
QLD,Motorcycle,2021,140940
QLD,Passenger,2022,2431908
QLD,Light Commercial,2022,1531338
QLD,Heavy Truck,2022,552181
QLD,Bus,2022,379046
QLD,Motorcycle,2022,1238782
QLD,Passenger,2023,1371359
QLD,Light Commercial,2023,1743746
QLD,Heavy Truck,2023,737687
QLD,Bus,2023,843194
QLD,Motorcycle,2023,555318
QLD,Passenger,2024,2263440
QLD,Light Commercial,2024,1535517
QLD,Heavy Truck,2024,2227556
QLD,Bus,2024,2105679
QLD,Motorcycle,2024,1144062
QLD,Passenger,2025,691149
QLD,Light Commercial,2025,1078810
QLD,Heavy Truck,2025,2022016
QLD,Bus,2025,1238912
QLD,Motorcycle,2025,1421674
WA,Passenger,2020,484056
WA,Light Commercial,2020,1965324
WA,Heavy Truck,2020,316828
WA,Bus,2020,591377
WA,Motorcycle,2020,947296
WA,Passenger,2021,1667864
WA,Light Commercial,2021,2338538
WA,Heavy Truck,2021,1535171
WA,Bus,2021,379757
WA,Motorcycle,2021,1655965
WA,Passenger,2022,59379
WA,Light Commercial,2022,1110219
WA,Heavy Truck,2022,2251547
WA,Bus,2022,519368
WA,Motorcycle,2022,1908510
WA,Passenger,2023,1546960
WA,Light Commercial,2023,1100584
WA,Heavy Truck,2023,2452822
WA,Bus,2023,1599136
WA,Motorcycle,2023,1559073
WA,Passenger,2024,455436
WA,Light Commercial,2024,981720
WA,Heavy Truck,2024,1978517
WA,Bus,2024,105960
WA,Motorcycle,2024,2355713
WA,Passenger,2025,1376758
WA,Light Commercial,2025,929481
WA,Heavy Truck,2025,266151
WA,Bus,2025,1948279
WA,Motorcycle,2025,1268477
SA,Passenger,2020,1713516
SA,Light Commercial,2020,490374
SA,Heavy Truck,2020,587267
SA,Bus,2020,191198
SA,Motorcycle,2020,157078
SA,Passenger,2021,1277597
SA,Light Commercial,2021,2067217
SA,Heavy Truck,2021,488044
SA,Bus,2021,408652
SA,Motorcycle,2021,985822
SA,Passenger,2022,2255633
SA,Light Commercial,2022,570016
SA,Heavy Truck,2022,1631098
SA,Bus,2022,1903719
SA,Motorcycle,2022,1557135
SA,Passenger,2023,2266731
SA,Light Commercial,2023,1758945
SA,Heavy Truck,2023,2464483
SA,Bus,2023,649116
SA,Motorcycle,2023,1741151
SA,Passenger,2024,416326
SA,Light Commercial,2024,2053470
SA,Heavy Truck,2024,1712762
SA,Bus,2024,1174315
SA,Motorcycle,2024,138222
SA,Passenger,2025,1555115
SA,Light Commercial,2025,912295
SA,Heavy Truck,2025,1860683
SA,Bus,2025,1866189
SA,Motorcycle,2025,991328
TAS,Passenger,2020,1522215
TAS,Light Commercial,2020,417723
TAS,Heavy Truck,2020,1541714
TAS,Bus,2020,2284655
TAS,Motorcycle,2020,1505387
TAS,Passenger,2021,254965
TAS,Light Commercial,2021,1670918
TAS,Heavy Truck,2021,1158130
TAS,Bus,2021,797114
TAS,Motorcycle,2021,513374
TAS,Passenger,2022,1908222
TAS,Light Commercial,2022,385506
TAS,Heavy Truck,2022,890636
TAS,Bus,2022,90579
TAS,Motorcycle,2022,213141
TAS,Passenger,2023,1399838
TAS,Light Commercial,2023,1022601
TAS,Heavy Truck,2023,529163
TAS,Bus,2023,2369011
TAS,Motorcycle,2023,861694
TAS,Passenger,2024,288771
TAS,Light Commercial,2024,2325515
TAS,Heavy Truck,2024,869880
TAS,Bus,2024,2460468
TAS,Motorcycle,2024,906765
TAS,Passenger,2025,978267
TAS,Light Commercial,2025,1379078
TAS,Heavy Truck,2025,619887
TAS,Bus,2025,12893
TAS,Motorcycle,2025,1163974
NT,Passenger,2020,607865
NT,Light Commercial,2020,546226
NT,Heavy Truck,2020,2266827
NT,Bus,2020,1052319
NT,Motorcycle,2020,732893
NT,Passenger,2021,462064
NT,Light Commercial,2021,109129
NT,Heavy Truck,2021,553822
NT,Bus,2021,63328
NT,Motorcycle,2021,1503577
NT,Passenger,2022,998957
NT,Light Commercial,2022,2470828
NT,Heavy Truck,2022,1358995
NT,Bus,2022,67190
NT,Motorcycle,2022,731841
NT,Passenger,2023,1114032
NT,Light Commercial,2023,220777
NT,Heavy Truck,2023,532663
NT,Bus,2023,1766636
NT,Motorcycle,2023,2207562
NT,Passenger,2024,477679
NT,Light Commercial,2024,267581
NT,Heavy Truck,2024,1998520
NT,Bus,2024,1881202
NT,Motorcycle,2024,1519501
NT,Passenger,2025,2153676
NT,Light Commercial,2025,2491015
NT,Heavy Truck,2025,458405
NT,Bus,2025,1896848
NT,Motorcycle,2025,2114252
ACT,Passenger,2020,930247
ACT,Light Commercial,2020,182886
ACT,Heavy Truck,2020,2188124
ACT,Bus,2020,1266129
ACT,Motorcycle,2020,1922169
ACT,Passenger,2021,131655
ACT,Light Commercial,2021,256120
ACT,Heavy Truck,2021,2009995
ACT,Bus,2021,1685504
ACT,Motorcycle,2021,1788921
ACT,Passenger,2022,453824
ACT,Light Commercial,2022,2057336
ACT,Heavy Truck,2022,1861435
ACT,Bus,2022,309242
ACT,Motorcycle,2022,339859
ACT,Passenger,2023,1352034
ACT,Light Commercial,2023,623157
ACT,Heavy Truck,2023,276491
ACT,Bus,2023,530285
ACT,Motorcycle,2023,1154500
ACT,Passenger,2024,2456197
ACT,Light Commercial,2024,2300973
ACT,Heavy Truck,2024,1364926
ACT,Bus,2024,1598628
ACT,Motorcycle,2024,2226316
ACT,Passenger,2025,1237890
ACT,Light Commercial,2025,1904020
ACT,Heavy Truck,2025,2121434
ACT,Bus,2025,1805386
ACT,Motorcycle,2025,416984
