state,year,mode,vkt_million_km
NSW,2020,Passenger vehicles,7921.2
NSW,2020,Freight (articulated),2512.5
NSW,2020,Freight (rigid),5006.1
NSW,2020,Buses,4916.1
NSW,2021,Passenger vehicles,5946.7
NSW,2021,Freight (articulated),7586.0
NSW,2021,Freight (rigid),1741.5
NSW,2021,Buses,1767.1
NSW,2022,Passenger vehicles,5317.4
NSW,2022,Freight (articulated),1340.8
NSW,2022,Freight (rigid),1473.1
NSW,2022,Buses,693.0
NSW,2023,Passenger vehicles,121.1
NSW,2023,Freight (articulated),3659.0
NSW,2023,Freight (rigid),4791.1
NSW,2023,Buses,2400.9
NSW,2024,Passenger vehicles,1928.7
NSW,2024,Freight (articulated),5685.0
NSW,2024,Freight (rigid),5653.6
NSW,2024,Buses,3686.8
NSW,2025,Passenger vehicles,5530.3
NSW,2025,Freight (articulated),7398.9
NSW,2025,Freight (rigid),6323.8
NSW,2025,Buses,5038.0
VIC,2020,Passenger vehicles,5323.3
VIC,2020,Freight (articulated),7476.0
VIC,2020,Freight (rigid),3458.6
VIC,2020,Buses,4402.0
VIC,2021,Passenger vehicles,5216.3
VIC,2021,Freight (articulated),7276.5
VIC,2021,Freight (rigid),6630.4
VIC,2021,Buses,664.1
VIC,2022,Passenger vehicles,1410.8
VIC,2022,Freight (articulated),2530.1
VIC,2022,Freight (rigid),6016.8
VIC,2022,Buses,4596.7
VIC,2023,Passenger vehicles,2380.0
VIC,2023,Freight (articulated),1082.4
VIC,2023,Freight (rigid),5540.6
VIC,2023,Buses,5627.9
VIC,2024,Passenger vehicles,7547.1
VIC,2024,Freight (articulated),4053.7
VIC,2024,Freight (rigid),4001.0
VIC,2024,Buses,735.5
VIC,2025,Passenger vehicles,414.9
VIC,2025,Freight (articulated),3513.0
VIC,2025,Freight (rigid),2646.3
VIC,2025,Buses,2077.9
QLD,2020,Passenger vehicles,821.5
QLD,2020,Freight (articulated),7699.1
QLD,2020,Freight (rigid),6704.1
QLD,2020,Buses,4644.1
QLD,2021,Passenger vehicles,7611.2
QLD,2021,Freight (articulated),7996.6
QLD,2021,Freight (rigid),5411.0
QLD,2021,Buses,2229.1
QLD,2022,Passenger vehicles,417.8
