state,year,fuel_consumption_ml,vkt_road_million_km,registered_vehicles,ghg_kt_co2e
ACT,2020,4815.2,20409.6,6489555,17719.9
ACT,2021,5894.8,19426.0,5872195,7137.5
ACT,2022,4726.1,19252.6,5021696,6659.4
ACT,2023,6015.2,21081.7,3936467,3456.1
ACT,2024,5874.9,15512.2,9947040,5218.3
ACT,2025,7504.5,23418.2,7485714,3429.1
NSW,2020,4621.1,20355.9,4527783,13685.2
NSW,2021,4888.7,17041.3,7246302,12345.7
NSW,2022,6474.6,8824.3,6309414,11171.6
NSW,2023,4719.4,10972.1,7484142,18410.1
NSW,2024,5261.599999999999,16954.1,6506185,7075.7
NSW,2025,6114.9,24291.0,6565757,21367.0
NT,2020,6769.6,18326.1,5206130,14748.1
NT,2021,6861.4,21587.1,2691920,12094.9
NT,2022,4634.9,16322.2,5627811,13507.6
NT,2023,6184.9,22317.5,5841670,10924.8
NT,2024,5746.2,17110.8,6144483,18775.4
NT,2025,4214.4,18158.0,9114196,8604.4
QLD,2020,5159.0,19868.800000000003,4823680,9785.2
QLD,2021,4893.0,23247.9,3862529,1203.1
QLD,2022,5297.9,15556.2,6133255,21348.3
QLD,2023,5425.1,18709.7,5251304,4955.1
QLD,2024,7250.5,10387.4,9276254,5696.9
QLD,2025,6042.9,20555.6,6452561,20046.9
SA,2020,4903.1,15747.7,3139433,2597.5
SA,2021,6647.9,11102.0,5227332,18141.8
SA,2022,7112.0,20024.3,7917601,12470.2
SA,2023,6885.4,20592.4,8880426,19075.0
SA,2024,5260.6,18823.8,5495095,17419.9
SA,2025,6153.1,19083.2,7185610,16324.6
TAS,2020,5929.7,22595.9,7271694,12525.1
TAS,2021,5479.8,21552.0,4394501,19926.9
TAS,2022,5290.2,17521.1,3488084,2779.8
TAS,2023,5466.7,12423.4,6182307,5929.1
TAS,2024,5106.2,15192.400000000001,6851399,17448.8
TAS,2025,5179.5,13762.9,4154099,8002.0
VIC,2020,6068.400000000001,20659.9,6744005,20852.9
VIC,2021,4561.2,19787.3,7271708,2623.2
VIC,2022,6347.8,14554.400000000001,5923065,22100.0
VIC,2023,6302.1,14630.9,9160870,6474.7
VIC,2024,5665.9,16337.3,4180656,11885.4
VIC,2025,5940.7,8652.1,6833380,15453.1
WA,2020,6176.599999999999,20916.9,4304881,8838.3
WA,2021,5155.9,16696.2,7577295,22067.8
WA,2022,5746.8,20659.9,5849023,17679.0
WA,2023,5953.1,12291.2,8258575,7268.6
WA,2024,6351.4,18928.6,5877346,748.7
WA,2025,5435.9,21044.7,5789146,23727.5
