state,year,fuel_consumption_ml,vkt_road_million_km,registered_vehicles,ghg_kt_co2e,population,emissions_per_capita_kg,vkt_per_capita_km,vehicles_per_capita
ACT,2024,5874.9,15512.2,9947040,5218.3,465041.0,11221.161144931308,33356.628770366486,21.389597906421155
ACT,2025,7504.5,23418.2,7485714,3429.1,471738.25,7269.073474538051,49642.35993159342,15.868363440954809
NSW,2024,5261.599999999999,16954.1,6506185,7075.7,8389481.5,843.4013472703886,2020.8757835630245,0.7755169374889259
NSW,2025,6114.9,24291.0,6565757,21367.0,8488851.0,2517.0662083714274,2861.5180075607404,0.7734565019459053
NT,2024,5746.2,17110.8,6144483,18775.4,251605.0,74622.52339977346,68006.5976431311,24.42114822837384
NT,2025,4214.4,18158.0,9114196,8604.4,254672.75,33786.10393141787,71299.34396200614,35.7878728682201
QLD,2024,7250.5,10387.4,9276254,5696.9,5445193.75,1046.2253983157166,1907.62725385116,1.703567297306914
QLD,2025,6042.9,20555.6,6452561,20046.9,5508616.25,3639.189787453428,3731.5360277637783,1.171357870499692
SA,2024,5260.6,18823.8,5495095,17419.9,1872998.5,9300.541351207703,10050.088134080193,2.9338491194734004
SA,2025,6153.1,19083.2,7185610,16324.6,1894912.0,8614.964705485005,10070.757903269387,3.7920547233855713
TAS,2024,5106.2,15192.400000000001,6851399,17448.8,579763.5,30096.410001664473,26204.47820533718,11.817575614884346
TAS,2025,5179.5,13762.9,4154099,8002.0,587833.25,13612.703942827324,23412.93215380382,7.066798279954392
VIC,2024,5665.9,16337.3,4180656,11885.4,6869981.25,1730.0483898700597,2378.0705369465163,0.6085396521278715
VIC,2025,5940.7,8652.1,6833380,15453.1,6965249.0,2218.5997944940664,1242.18100458433,0.9810675827956761
WA,2024,6351.4,18928.6,5877346,748.7,2928575.5,255.65330311613957,6463.415404520048,2.0068958440716314
WA,2025,5435.9,21044.7,5789146,23727.5,2965044.75,8002.4087326169365,7097.59945444331,1.9524649670127239
