state,date,consumption_ml
ACT,2020-01-01,73.0
ACT,2020-02-01,596.3
ACT,2020-03-01,165.3
ACT,2020-04-01,442.4
ACT,2020-05-01,92.7
ACT,2020-06-01,372.2
ACT,2020-07-01,229.9
ACT,2020-08-01,327.8
ACT,2020-09-01,697.0
ACT,2020-10-01,372.3
ACT,2020-11-01,689.2
ACT,2020-12-01,757.1
ACT,2021-01-01,264.4
ACT,2021-02-01,119.6
ACT,2021-03-01,66.5
ACT,2021-04-01,508.5
ACT,2021-05-01,899.9
ACT,2021-06-01,347.5
ACT,2021-07-01,602.6
ACT,2021-08-01,714.0
ACT,2021-09-01,604.0
ACT,2021-10-01,691.1
ACT,2021-11-01,857.2
ACT,2021-12-01,219.5
ACT,2022-01-01,67.3
ACT,2022-02-01,179.5
ACT,2022-03-01,157.3
ACT,2022-04-01,619.0
ACT,2022-05-01,529.4
ACT,2022-06-01,235.3
ACT,2022-07-01,644.5
ACT,2022-08-01,701.9
ACT,2022-09-01,192.6
ACT,2022-10-01,566.2
ACT,2022-11-01,685.7
ACT,2022-12-01,147.4
ACT,2023-01-01,746.4
ACT,2023-02-01,870.0
ACT,2023-03-01,141.9
ACT,2023-04-01,71.8
ACT,2023-05-01,315.2
ACT,2023-06-01,625.7
ACT,2023-07-01,864.4
ACT,2023-08-01,387.2
ACT,2023-09-01,657.8
ACT,2023-10-01,114.6
ACT,2023-11-01,637.0
ACT,2023-12-01,583.2
ACT,2024-01-01,136.6
ACT,2024-02-01,706.6
ACT,2024-03-01,772.7
ACT,2024-04-01,560.3
ACT,2024-05-01,152.9
ACT,2024-06-01,886.3
ACT,2024-07-01,715.2
ACT,2024-08-01,345.1
ACT,2024-09-01,414.1
ACT,2024-10-01,365.0
ACT,2024-11-01,480.1
ACT,2024-12-01,340.0
ACT,2025-01-01,772.1
ACT,2025-02-01,749.0
ACT,2025-03-01,139.7
ACT,2025-04-01,866.7
ACT,2025-05-01,590.2
ACT,2025-06-01,754.4
ACT,2025-07-01,651.2
ACT,2025-08-01,420.2
ACT,2025-09-01,673.7
ACT,2025-10-01,870.7
ACT,2025-11-01,279.6
ACT,2025-12-01,737.0
NSW,2020-01-01,593.5
NSW,2020-02-01,71.3
NSW,2020-03-01,283.8
NSW,2020-04-01,239.7
NSW,2020-05-01,676.0
NSW,2020-06-01,625.2
NSW,2020-07-01,808.4
NSW,2020-08-01,123.9
NSW,2020-09-01,408.6
NSW,2020-10-01,75.3
NSW,2020-11-01,235.8
NSW,2020-12-01,479.6
NSW,2021-01-01,72.6
NSW,2021-02-01,219.0
NSW,2021-03-01,602.4
NSW,2021-04-01,513.2
NSW,2021-05-01,237.4
NSW,2021-06-01,550.9
NSW,2021-07-01,738.0
NSW,2021-08-01,55.5
NSW,2021-09-01,734.9
NSW,2021-10-01,643.4
NSW,2021-11-01,339.2
NSW,2021-12-01,182.2
NSW,2022-01-01,863.6
NSW,2022-02-01,336.1
NSW,2022-03-01,128.8
NSW,2022-04-01,132.2
NSW,2022-05-01,770.4
NSW,2022-06-01,563.2
NSW,2022-07-01,736.1
NSW,2022-08-01,670.3
NSW,2022-09-01,505.8
NSW,2022-10-01,877.1
NSW,2022-11-01,371.8
NSW,2022-12-01,519.2
NSW,2023-01-01,755.0
NSW,2023-02-01,575.7
NSW,2023-03-01,782.5
NSW,2023-04-01,540.7
NSW,2023-05-01,648.9
NSW,2023-06-01,89.0
NSW,2023-07-01,243.7
NSW,2023-08-01,296.0
NSW,2023-09-01,117.8
NSW,2023-10-01,247.9
NSW,2023-11-01,135.9
NSW,2023-12-01,286.3
NSW,2024-01-01,590.3
NSW,2024-02-01,360.1
NSW,2024-03-01,364.7
NSW,2024-04-01,228.1
NSW,2024-05-01,276.9
NSW,2024-06-01,846.2
NSW,2024-07-01,600.8
NSW,2024-08-01,567.8
NSW,2024-09-01,195.5
NSW,2024-10-01,669.8
NSW,2024-11-01,188.9
NSW,2024-12-01,372.5
NSW,2025-01-01,891.1
NSW,2025-02-01,594.0
NSW,2025-03-01,523.4
NSW,2025-04-01,631.9
NSW,2025-05-01,766.4
NSW,2025-06-01,709.6
NSW,2025-07-01,244.7
NSW,2025-08-01,77.3
NSW,2025-09-01,318.1
NSW,2025-10-01,277.6
NSW,2025-11-01,229.3
NSW,2025-12-01,851.5
NT,2020-01-01,199.5
NT,2020-02-01,864.3
NT,2020-03-01,490.3
NT,2020-04-01,92.7
NT,2020-05-01,261.8
NT,2020-06-01,771.1
NT,2020-07-01,438.0
NT,2020-08-01,731.2
NT,2020-09-01,617.4
NT,2020-10-01,889.7
NT,2020-11-01,556.1
NT,2020-12-01,857.5
NT,2021-01-01,807.7
NT,2021-02-01,570.8
NT,2021-03-01,661.4
NT,2021-04-01,479.1
NT,2021-05-01,756.0
NT,2021-06-01,515.7
NT,2021-07-01,812.6
NT,2021-08-01,682.1
NT,2021-09-01,453.5
NT,2021-10-01,270.3
NT,2021-11-01,260.2
NT,2021-12-01,592.0
NT,2022-01-01,700.9
NT,2022-02-01,493.1
NT,2022-03-01,582.7
NT,2022-04-01,283.4
NT,2022-05-01,115.9
NT,2022-06-01,292.9
NT,2022-07-01,281.0
NT,2022-08-01,321.8
NT,2022-09-01,509.1
NT,2022-10-01,167.6
NT,2022-11-01,246.6
NT,2022-12-01,639.9
NT,2023-01-01,650.5
NT,2023-02-01,104.6
NT,2023-03-01,396.5
NT,2023-04-01,511.2
NT,2023-05-01,403.4
NT,2023-06-01,225.8
NT,2023-07-01,407.1
NT,2023-08-01,819.1
NT,2023-09-01,546.5
NT,2023-10-01,641.2
NT,2023-11-01,778.2
NT,2023-12-01,700.8
NT,2024-01-01,373.3
NT,2024-02-01,55.0
NT,2024-03-01,349.0
NT,2024-04-01,690.5
NT,2024-05-01,775.4
NT,2024-06-01,860.4
NT,2024-07-01,406.2
NT,2024-08-01,685.4
NT,2024-09-01,514.2
NT,2024-10-01,562.8
NT,2024-11-01,237.5
NT,2024-12-01,236.5
NT,2025-01-01,420.5
NT,2025-02-01,74.7
NT,2025-03-01,335.7
NT,2025-04-01,627.3
NT,2025-05-01,393.7
NT,2025-06-01,190.3
NT,2025-07-01,447.3
NT,2025-08-01,158.5
NT,2025-09-01,578.9
NT,2025-10-01,72.9
NT,2025-11-01,384.9
NT,2025-12-01,529.7
QLD,2020-01-01,409.7
QLD,2020-02-01,230.0
QLD,2020-03-01,508.4
QLD,2020-04-01,670.4
QLD,2020-05-01,221.0
QLD,2020-06-01,315.0
QLD,2020-07-01,895.9
QLD,2020-08-01,602.4
QLD,2020-09-01,422.4
QLD,2020-10-01,489.9
QLD,2020-11-01,152.9
QLD,2020-12-01,241.0
QLD,2021-01-01,337.4
QLD,2021-02-01,550.1
QLD,2021-03-01,245.6
QLD,2021-04-01,237.2
QLD,2021-05-01,110.3
QLD,2021-06-01,586.4
QLD,2021-07-01,244.6
QLD,2021-08-01,819.6
QLD,2021-09-01,780.7
QLD,2021-10-01,110.2
QLD,2021-11-01,252.3
QLD,2021-12-01,618.6
QLD,2022-01-01,232.1
QLD,2022-02-01,162.5
QLD,2022-03-01,845.2
QLD,2022-04-01,535.4
QLD,2022-05-01,451.8
QLD,2022-06-01,716.9
QLD,2022-07-01,736.4
QLD,2022-08-01,211.8
QLD,2022-09-01,132.4
QLD,2022-10-01,416.4
QLD,2022-11-01,410.0
QLD,2022-12-01,447.0
QLD,2023-01-01,669.7
QLD,2023-02-01,622.4
QLD,2023-03-01,886.5
QLD,2023-04-01,133.7
QLD,2023-05-01,392.2
QLD,2023-06-01,338.4
QLD,2023-07-01,782.4
QLD,2023-08-01,261.4
QLD,2023-09-01,211.7
QLD,2023-10-01,431.3
QLD,2023-11-01,408.6
QLD,2023-12-01,286.8
QLD,2024-01-01,262.3
QLD,2024-02-01,834.8
QLD,2024-03-01,426.7
QLD,2024-04-01,782.1
QLD,2024-05-01,517.8
QLD,2024-06-01,93.0
QLD,2024-07-01,899.4
QLD,2024-08-01,760.6
QLD,2024-09-01,873.6
QLD,2024-10-01,837.4
QLD,2024-11-01,771.4
QLD,2024-12-01,191.4
QLD,2025-01-01,462.8
QLD,2025-02-01,231.7
QLD,2025-03-01,390.9
QLD,2025-04-01,99.8
QLD,2025-05-01,372.1
QLD,2025-06-01,887.5
QLD,2025-07-01,275.4
QLD,2025-08-01,716.5
QLD,2025-09-01,436.8
QLD,2025-10-01,409.6
QLD,2025-11-01,863.7
QLD,2025-12-01,896.1
SA,2020-01-01,410.0
SA,2020-02-01,285.2
SA,2020-03-01,53.0
SA,2020-04-01,705.5
SA,2020-05-01,591.5
SA,2020-06-01,272.7
SA,2020-07-01,680.0
SA,2020-08-01,518.9
SA,2020-09-01,413.5
SA,2020-10-01,58.2
SA,2020-11-01,114.0
SA,2020-12-01,800.6
SA,2021-01-01,818.3
SA,2021-02-01,513.8
SA,2021-03-01,759.4
SA,2021-04-01,545.1
SA,2021-05-01,175.9
SA,2021-06-01,158.3
SA,2021-07-01,312.0
SA,2021-08-01,814.1
SA,2021-09-01,726.7
SA,2021-10-01,781.6
SA,2021-11-01,814.1
SA,2021-12-01,228.6
SA,2022-01-01,262.1
SA,2022-02-01,137.4
SA,2022-03-01,713.1
SA,2022-04-01,801.5
SA,2022-05-01,395.4
SA,2022-06-01,577.6
SA,2022-07-01,181.4
SA,2022-08-01,840.4
SA,2022-09-01,784.9
SA,2022-10-01,879.8
SA,2022-11-01,739.2
SA,2022-12-01,799.2
SA,2023-01-01,71.1
SA,2023-02-01,676.1
SA,2023-03-01,332.4
SA,2023-04-01,841.2
SA,2023-05-01,731.9
SA,2023-06-01,784.5
SA,2023-07-01,739.1
SA,2023-08-01,276.8
SA,2023-09-01,719.3
SA,2023-10-01,141.9
SA,2023-11-01,791.3
SA,2023-12-01,779.8
SA,2024-01-01,239.1
SA,2024-02-01,744.1
SA,2024-03-01,441.3
SA,2024-04-01,309.4
SA,2024-05-01,726.0
SA,2024-06-01,243.5
SA,2024-07-01,70.1
SA,2024-08-01,214.2
SA,2024-09-01,329.0
SA,2024-10-01,784.7
SA,2024-11-01,871.9
SA,2024-12-01,287.3
SA,2025-01-01,595.3
SA,2025-02-01,389.7
SA,2025-03-01,884.0
SA,2025-04-01,505.8
SA,2025-05-01,848.4
SA,2025-06-01,148.0
SA,2025-07-01,874.8
SA,2025-08-01,201.8
SA,2025-09-01,868.2
SA,2025-10-01,275.6
SA,2025-11-01,142.1
SA,2025-12-01,419.4
TAS,2020-01-01,669.3
TAS,2020-02-01,316.6
TAS,2020-03-01,565.3
TAS,2020-04-01,484.7
TAS,2020-05-01,377.4
TAS,2020-06-01,540.1
TAS,2020-07-01,266.5
TAS,2020-08-01,652.5
TAS,2020-09-01,51.4
TAS,2020-10-01,836.7
TAS,2020-11-01,507.7
TAS,2020-12-01,661.5
TAS,2021-01-01,680.7
TAS,2021-02-01,620.0
TAS,2021-03-01,359.6
TAS,2021-04-01,109.5
TAS,2021-05-01,614.6
TAS,2021-06-01,330.7
TAS,2021-07-01,316.8
TAS,2021-08-01,770.8
TAS,2021-09-01,661.8
TAS,2021-10-01,305.3
TAS,2021-11-01,312.9
TAS,2021-12-01,397.1
TAS,2022-01-01,392.0
TAS,2022-02-01,301.3
TAS,2022-03-01,158.2
TAS,2022-04-01,407.4
TAS,2022-05-01,849.3
TAS,2022-06-01,625.7
TAS,2022-07-01,817.4
TAS,2022-08-01,573.2
TAS,2022-09-01,305.8
TAS,2022-10-01,515.7
TAS,2022-11-01,50.3
TAS,2022-12-01,293.9
TAS,2023-01-01,415.4
TAS,2023-02-01,543.0
TAS,2023-03-01,606.5
TAS,2023-04-01,445.2
TAS,2023-05-01,425.8
TAS,2023-06-01,231.6
TAS,2023-07-01,452.2
TAS,2023-08-01,816.0
TAS,2023-09-01,726.6
TAS,2023-10-01,194.2
TAS,2023-11-01,122.1
TAS,2023-12-01,488.1
TAS,2024-01-01,588.0
TAS,2024-02-01,334.9
TAS,2024-03-01,745.7
TAS,2024-04-01,688.5
TAS,2024-05-01,621.9
TAS,2024-06-01,240.9
TAS,2024-07-01,219.3
TAS,2024-08-01,70.8
TAS,2024-09-01,258.1
TAS,2024-10-01,453.9
TAS,2024-11-01,772.3
TAS,2024-12-01,111.9
TAS,2025-01-01,402.3
TAS,2025-02-01,585.3
TAS,2025-03-01,215.3
TAS,2025-04-01,641.9
TAS,2025-05-01,470.2
TAS,2025-06-01,257.4
TAS,2025-07-01,607.6
TAS,2025-08-01,54.7
TAS,2025-09-01,688.3
TAS,2025-10-01,704.5
TAS,2025-11-01,140.6
TAS,2025-12-01,411.4
VIC,2020-01-01,794.9
VIC,2020-02-01,317.5
VIC,2020-03-01,607.1
VIC,2020-04-01,386.3
VIC,2020-05-01,827.4
VIC,2020-06-01,440.0
VIC,2020-07-01,275.1
VIC,2020-08-01,259.6
VIC,2020-09-01,527.2
VIC,2020-10-01,273.3
VIC,2020-11-01,546.9
VIC,2020-12-01,813.1
VIC,2021-01-01,389.5
VIC,2021-02-01,236.4
VIC,2021-03-01,897.9
VIC,2021-04-01,483.1
VIC,2021-05-01,127.3
VIC,2021-06-01,90.0
VIC,2021-07-01,143.2
VIC,2021-08-01,583.3
VIC,2021-09-01,723.3
VIC,2021-10-01,408.8
VIC,2021-11-01,104.0
VIC,2021-12-01,374.4
VIC,2022-01-01,896.7
VIC,2022-02-01,499.7
VIC,2022-03-01,875.4
VIC,2022-04-01,781.7
VIC,2022-05-01,59.8
VIC,2022-06-01,662.6
VIC,2022-07-01,629.5
VIC,2022-08-01,506.4
VIC,2022-09-01,276.8
VIC,2022-10-01,594.8
VIC,2022-11-01,144.8
VIC,2022-12-01,419.6
VIC,2023-01-01,435.7
VIC,2023-02-01,860.7
VIC,2023-03-01,794.5
VIC,2023-04-01,273.9
VIC,2023-05-01,475.5
VIC,2023-06-01,201.9
VIC,2023-07-01,825.7
VIC,2023-08-01,789.9
VIC,2023-09-01,303.7
VIC,2023-10-01,593.1
VIC,2023-11-01,567.6
VIC,2023-12-01,179.9
VIC,2024-01-01,698.1
VIC,2024-02-01,508.5
VIC,2024-03-01,711.8
VIC,2024-04-01,500.8
VIC,2024-05-01,50.5
VIC,2024-06-01,325.5
VIC,2024-07-01,66.6
VIC,2024-08-01,839.7
VIC,2024-09-01,796.9
VIC,2024-10-01,756.9
VIC,2024-11-01,311.4
VIC,2024-12-01,99.2
VIC,2025-01-01,796.3
VIC,2025-02-01,854.9
VIC,2025-03-01,122.8
VIC,2025-04-01,463.1
VIC,2025-05-01,108.8
VIC,2025-06-01,696.5
VIC,2025-07-01,701.0
VIC,2025-08-01,159.1
VIC,2025-09-01,454.0
VIC,2025-10-01,517.3
VIC,2025-11-01,275.3
VIC,2025-12-01,791.6
WA,2020-01-01,522.4
WA,2020-02-01,660.6
WA,2020-03-01,181.6
WA,2020-04-01,302.2
WA,2020-05-01,873.4
WA,2020-06-01,542.3
WA,2020-07-01,510.9
WA,2020-08-01,685.8
WA,2020-09-01,98.6
WA,2020-10-01,546.6
WA,2020-11-01,477.4
WA,2020-12-01,774.8
WA,2021-01-01,183.8
WA,2021-02-01,866.7
WA,2021-03-01,118.1
WA,2021-04-01,208.0
WA,2021-05-01,555.8
WA,2021-06-01,623.9
WA,2021-07-01,249.9
WA,2021-08-01,151.9
WA,2021-09-01,806.7
WA,2021-10-01,259.3
WA,2021-11-01,555.3
WA,2021-12-01,576.5
WA,2022-01-01,406.3
WA,2022-02-01,546.1
WA,2022-03-01,494.4
WA,2022-04-01,844.5
WA,2022-05-01,223.6
WA,2022-06-01,658.8
WA,2022-07-01,252.9
WA,2022-08-01,386.4
WA,2022-09-01,620.9
WA,2022-10-01,305.0
WA,2022-11-01,318.8
WA,2022-12-01,689.1
WA,2023-01-01,111.7
WA,2023-02-01,439.5
WA,2023-03-01,898.7
WA,2023-04-01,896.7
WA,2023-05-01,112.3
WA,2023-06-01,231.2
WA,2023-07-01,275.4
WA,2023-08-01,843.3
WA,2023-09-01,798.7
WA,2023-10-01,797.4
WA,2023-11-01,364.1
WA,2023-12-01,184.1
WA,2024-01-01,758.7
WA,2024-02-01,648.0
WA,2024-03-01,569.9
WA,2024-04-01,889.1
WA,2024-05-01,605.9
WA,2024-06-01,56.6
WA,2024-07-01,744.5
WA,2024-08-01,304.5
WA,2024-09-01,613.9
WA,2024-10-01,848.1
WA,2024-11-01,164.1
WA,2024-12-01,148.1
WA,2025-01-01,141.0
WA,2025-02-01,520.2
WA,2025-03-01,281.5
WA,2025-04-01,564.1
WA,2025-05-01,660.0
WA,2025-06-01,223.1
WA,2025-07-01,589.1
WA,2025-08-01,274.4
WA,2025-09-01,465.3
WA,2025-10-01,819.5
WA,2025-11-01,769.2
WA,2025-12-01,128.5
