state,year,quarter,population
New South Wales,1981,Q2,5234889
Victoria,1981,Q2,3946917
Queensland,1981,Q2,2345208
South Australia,1981,Q2,1318769
Western Australia,1981,Q2,1300056
Tasmania,1981,Q2,427224
Northern Territory,1981,Q2,122616
Australian Capital Territory,1981,Q2,227581
New South Wales,1981,Q3,5249455
Victoria,1981,Q3,3957333
Queensland,1981,Q3,2367477
South Australia,1981,Q3,1321235
Western Australia,1981,Q3,1311284
Tasmania,1981,Q3,427925
Northern Territory,1981,Q3,125186
Australian Capital Territory,1981,Q3,228782
New South Wales,1981,Q4,5266894
Victoria,1981,Q4,3968398
Queensland,1981,Q4,2387943
South Australia,1981,Q4,1325176
Western Australia,1981,Q4,1320221
Tasmania,1981,Q4,428283
Northern Territory,1981,Q4,127718
Australian Capital Territory,1981,Q4,229484
New South Wales,1982,Q1,5286119
Victoria,1982,Q1,3980826
Queensland,1982,Q1,2406355
South Australia,1982,Q1,1328670
Western Australia,1982,Q1,1329700
Tasmania,1982,Q1,429445
Northern Territory,1982,Q1,129593
Australian Capital Territory,1982,Q1,230990
New South Wales,1982,Q2,5303580
Victoria,1982,Q2,3992870
Queensland,1982,Q2,2424586
South Australia,1982,Q2,1331108
Western Australia,1982,Q2,1338899
Tasmania,1982,Q2,429845
Northern Territory,1982,Q2,130314
Australian Capital Territory,1982,Q2,233045
New South Wales,1982,Q3,5315846
Victoria,1982,Q3,4002731
Queensland,1982,Q3,2442912
South Australia,1982,Q3,1334090
Western Australia,1982,Q3,1348096
Tasmania,1982,Q3,430308
Northern Territory,1982,Q3,131517
Australian Capital Territory,1982,Q3,233778
New South Wales,1982,Q4,5328221
Victoria,1982,Q4,4012687
Queensland,1982,Q4,2456475
South Australia,1982,Q4,1337783
Western Australia,1982,Q4,1354971
Tasmania,1982,Q4,430974
Northern Territory,1982,Q4,132784
Australian Capital Territory,1982,Q4,234996
New South Wales,1983,Q1,5344027
Victoria,1983,Q1,4025254
Queensland,1983,Q1,2469709
South Australia,1983,Q1,1342193
Western Australia,1983,Q1,1361874
Tasmania,1983,Q1,431665
Northern Territory,1983,Q1,134529
Australian Capital Territory,1983,Q1,236991
New South Wales,1983,Q2,5352959
Victoria,1983,Q2,4035702
Queensland,1983,Q2,2482282
South Australia,1983,Q2,1345775
Western Australia,1983,Q2,1369050
Tasmania,1983,Q2,432805
Northern Territory,1983,Q2,135916
Australian Capital Territory,1983,Q2,238983
New South Wales,1983,Q3,5363744
Victoria,1983,Q3,4045185
Queensland,1983,Q3,2493373
South Australia,1983,Q3,1349553
Western Australia,1983,Q3,1375244
Tasmania,1983,Q3,433909
Northern Territory,1983,Q3,137942
Australian Capital Territory,1983,Q3,240055
New South Wales,1983,Q4,5374915
Victoria,1983,Q4,4054498
Queensland,1983,Q4,2503285
South Australia,1983,Q4,1353208
Western Australia,1983,Q4,1381011
Tasmania,1983,Q4,435100
Northern Territory,1983,Q4,139519
Australian Capital Territory,1983,Q4,241960
New South Wales,1984,Q1,5389180
Victoria,1984,Q1,4066209
Queensland,1984,Q1,2513443
South Australia,1984,Q1,1356511
Western Australia,1984,Q1,1385878
Tasmania,1984,Q1,436178
Northern Territory,1984,Q1,140666
Australian Capital Territory,1984,Q1,243476
New South Wales,1984,Q2,5402729
Victoria,1984,Q2,4076492
Queensland,1984,Q2,2523859
South Australia,1984,Q2,1360048
Western Australia,1984,Q2,1391237
Tasmania,1984,Q2,437760
Northern Territory,1984,Q2,142154
Australian Capital Territory,1984,Q2,245112
New South Wales,1984,Q3,5416536
Victoria,1984,Q3,4086549
Queensland,1984,Q3,2535976
South Australia,1984,Q3,1362611
Western Australia,1984,Q3,1397817
Tasmania,1984,Q3,438866
Northern Territory,1984,Q3,143934
Australian Capital Territory,1984,Q3,246259
New South Wales,1984,Q4,5431752
Victoria,1984,Q4,4097640
Queensland,1984,Q4,2547078
South Australia,1984,Q4,1365333
Western Australia,1984,Q4,1403032
Tasmania,1984,Q4,440070
Northern Territory,1984,Q4,145293
Australian Capital Territory,1984,Q4,247084
New South Wales,1985,Q1,5451549
Victoria,1985,Q1,4109741
Queensland,1985,Q1,2559452
