state,year,month,product,consumption_ml
NSW,2020,1,Automotive Diesel Oil,593.5
NSW,2020,2,Automotive Diesel Oil,71.3
NSW,2020,3,Automotive Diesel Oil,283.8
NSW,2020,4,Automotive Diesel Oil,239.7
NSW,2020,5,Automotive Diesel Oil,676.0
NSW,2020,6,Automotive Diesel Oil,625.2
NSW,2020,7,Automotive Diesel Oil,808.4
NSW,2020,8,Automotive Diesel Oil,123.9
NSW,2020,9,Automotive Diesel Oil,408.6
NSW,2020,10,Automotive Diesel Oil,75.3
NSW,2020,11,Automotive Diesel Oil,235.8
NSW,2020,12,Automotive Diesel Oil,479.6
NSW,2021,1,Automotive Diesel Oil,72.6
NSW,2021,2,Automotive Diesel Oil,219.0
NSW,2021,3,Automotive Diesel Oil,602.4
NSW,2021,4,Automotive Diesel Oil,513.2
NSW,2021,5,Automotive Diesel Oil,237.4
NSW,2021,6,Automotive Diesel Oil,550.9
NSW,2021,7,Automotive Diesel Oil,738.0
NSW,2021,8,Automotive Diesel Oil,55.5
NSW,2021,9,Automotive Diesel Oil,734.9
NSW,2021,10,Automotive Diesel Oil,643.4
NSW,2021,11,Automotive Diesel Oil,339.2
NSW,2021,12,Automotive Diesel Oil,182.2
NSW,2022,1,Automotive Diesel Oil,863.6
NSW,2022,2,Automotive Diesel Oil,336.1
NSW,2022,3,Automotive Diesel Oil,128.8
NSW,2022,4,Automotive Diesel Oil,132.2
NSW,2022,5,Automotive Diesel Oil,770.4
NSW,2022,6,Automotive Diesel Oil,563.2
NSW,2022,7,Automotive Diesel Oil,736.1
NSW,2022,8,Automotive Diesel Oil,670.3
NSW,2022,9,Automotive Diesel Oil,505.8
NSW,2022,10,Automotive Diesel Oil,877.1
NSW,2022,11,Automotive Diesel Oil,371.8
NSW,2022,12,Automotive Diesel Oil,519.2
NSW,2023,1,Automotive Diesel Oil,755.0
NSW,2023,2,Automotive Diesel Oil,575.7
NSW,2023,3,Automotive Diesel Oil,782.5
NSW,2023,4,Automotive Diesel Oil,540.7
NSW,2023,5,Automotive Diesel Oil,648.9
NSW,2023,6,Automotive Diesel Oil,89.0
NSW,2023,7,Automotive Diesel Oil,243.7
NSW,2023,8,Automotive Diesel Oil,296.0
NSW,2023,9,Automotive Diesel Oil,117.8
NSW,2023,10,Automotive Diesel Oil,247.9
NSW,2023,11,Automotive Diesel Oil,135.9
NSW,2023,12,Automotive Diesel Oil,286.3
NSW,2024,1,Automotive Diesel Oil,590.3
NSW,2024,2,Automotive Diesel Oil,360.1
NSW,2024,3,Automotive Diesel Oil,364.7
NSW,2024,4,Automotive Diesel Oil,228.1
NSW,2024,5,Automotive Diesel Oil,276.9
NSW,2024,6,Automotive Diesel Oil,846.2
NSW,2024,7,Automotive Diesel Oil,600.8
NSW,2024,8,Automotive Diesel Oil,567.8
NSW,2024,9,Automotive Diesel Oil,195.5
NSW,2024,10,Automotive Diesel Oil,669.8
NSW,2024,11,Automotive Diesel Oil,188.9
NSW,2024,12,Automotive Diesel Oil,372.5
NSW,2025,1,Automotive Diesel Oil,891.1
NSW,2025,2,Automotive Diesel Oil,594.0
NSW,2025,3,Automotive Diesel Oil,523.4
NSW,2025,4,Automotive Diesel Oil,631.9
NSW,2025,5,Automotive Diesel Oil,766.4
NSW,2025,6,Automotive Diesel Oil,709.6
NSW,2025,7,Automotive Diesel Oil,244.7
NSW,2025,8,Automotive Diesel Oil,77.3
NSW,2025,9,Automotive Diesel Oil,318.1
NSW,2025,10,Automotive Diesel Oil,277.6
NSW,2025,11,Automotive Diesel Oil,229.3
NSW,2025,12,Automotive Diesel Oil,851.5
VIC,2020,1,Automotive Diesel Oil,794.9
VIC,2020,2,Automotive Diesel Oil,317.5
VIC,2020,3,Automotive Diesel Oil,607.1
VIC,2020,4,Automotive Diesel Oil,386.3
VIC,2020,5,Automotive Diesel Oil,827.4
VIC,2020,6,Automotive Diesel Oil,440.0
VIC,2020,7,Automotive Diesel Oil,275.1
VIC,2020,8,Automotive Diesel Oil,259.6
VIC,2020,9,Automotive Diesel Oil,527.2
VIC,2020,10,Automotive Diesel Oil,273.3
VIC,2020,11,Automotive Diesel Oil,546.9
VIC,2020,12,Automotive Diesel Oil,813.1
VIC,2021,1,Automotive Diesel Oil,389.5
VIC,2021,2,Automotive Diesel Oil,236.4
VIC,2021,3,Automotive Diesel Oil,897.9
VIC,2021,4,Automotive Diesel Oil,483.1
