state,year,sector,ghg_kt_co2e
NSW,2020,Transport,13685.2
NSW,2021,Transport,12345.7
NSW,2022,Transport,11171.6
NSW,2023,Transport,18410.1
NSW,2024,Transport,7075.7
NSW,2025,Transport,21367.0
VIC,2020,Transport,20852.9
VIC,2021,Transport,2623.2
VIC,2022,Transport,22100.0
VIC,2023,Transport,6474.7
VIC,2024,Transport,11885.4
VIC,2025,Transport,15453.1
QLD,2020,Transport,9785.2
QLD,2021,Transport,1203.1
QLD,2022,Transport,21348.3
QLD,2023,Transport,4955.1
QLD,2024,Transport,5696.9
QLD,2025,Transport,20046.9
WA,2020,Transport,8838.3
WA,2021,Transport,22067.8
WA,2022,Transport,17679.0
WA,2023,Transport,7268.6
WA,2024,Transport,748.7
WA,2025,Transport,23727.5
SA,2020,Transport,2597.5
SA,2021,Transport,18141.8
SA,2022,Transport,12470.2
SA,2023,Transport,19075.0
SA,2024,Transport,17419.9
SA,2025,Transport,16324.6
TAS,2020,Transport,12525.1
TAS,2021,Transport,19926.9
TAS,2022,Transport,2779.8
TAS,2023,Transport,5929.1
TAS,2024,Transport,17448.8
TAS,2025,Transport,8002.0
NT,2020,Transport,14748.1
NT,2021,Transport,12094.9
NT,2022,Transport,13507.6
NT,2023,Transport,10924.8
NT,2024,Transport,18775.4
NT,2025,Transport,8604.4
ACT,2020,Transport,17719.9
ACT,2021,Transport,7137.5
ACT,2022,Transport,6659.4
ACT,2023,Transport,3456.1
ACT,2024,Transport,5218.3
ACT,2025,Transport,3429.1
